Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Floridablanca (San),343.560448614907,292.0332178727228,243.44776209842706,222.76083332165823,182.57488824567113,193.52907924051473,181.2300257229714,238.30552566923066,137.37270713477506,89.87882182789473
Duitama (Boy),490.0390472809759,607.7211311124198,656.278396661394,513.3819345956391,461.46558201836064,471.229363680077,439.72527038762144,416.17029280832656,263.2398753894081,339.03028051272526
Mosquera (Cun),51.178583731115594,148.59669000873006,138.1746947913387,175.8147865164847,156.65676043034534,196.21593670088052,339.1630438389805,374.01072249170284,365.69519212919994,252.70301980108664
Facatativá (Cun),75.29461205764414,265.3407997053629,221.02357052806283,223.78152854162715,335.6258202393844,368.24075513003294,242.98298477990485,266.32964458555534,330.52615220938503,246.41993676771432
Armenia (Qui) Cap.,54.29261970646958,87.09708886690171,114.81890085111239,110.38814115969255,118.2217284084442,127.91728015883062,165.3738630546915,154.3134833026976,95.98433535646983,170.70230905637277
Dosquebradas (Ris),249.04974224560658,220.45707781991382,220.2351695716284,197.98004323809434,180.49710375820754,224.66718907827567,225.66604999508453,282.85909360951257,96.62005480992201,147.77083351442502
Chía (Cun),13.086435909180134,117.59675005345306,106.6720849312981,354.80634156130844,128.61152510572623,173.38013417499363,447.28220899913083,334.9599141062485,277.9942032598872,186.67232340373948
Envigado (Ant),100.66859139948336,209.28595733176718,207.4906880555746,204.9620506945439,184.83884499755297,195.6681941773889,172.9996655615057,194.30657349707118,143.31465172137712,183.2880697204167
Girardot (Cun),173.43762562741924,467.25332917997036,262.1626267835654,250.27406043808304,301.92638935635233,353.96046650660946,299.6575342465753,423.99607540822757,460.3206957467047,336.1136344867454
Zipaquirá (Cun),169.98789760076866,323.4038028743067,416.02060615303793,247.2887136138094,275.01781104208004,286.3242315403811,282.87963266644806,264.79187883964653,211.4878681131078,280.59091331413174
Sogamoso (Boy),193.73933403134455,178.56269262756226,278.87482872571934,194.32011850341652,153.25971627303807,228.8435668671625,257.045879257084,318.796901384987,259.60344632980923,431.5115618175836
Madrid (Cun),76.79636719793429,117.37709771907748,89.19533778975958,109.90572741484675,137.18887522939048,182.39816102676008,327.99005804716137,334.3065030934697,294.7775969026354,322.9969554150119
