Municipio,2015,2016,2017,2018,2019,2020,2021,2022,2023
El Cerrito (Vac),120.233288470166,50.110959982819104,48.31868859499991,69.0632194085355,72.13864696049968,45.50785010414296,50.48658623631204,50.12877910494201,51.488886981893074
Suárez (Cau),32.362459546925564,3.2042039155371844,50.653749960426765,75.22567703109327,99.29870291069322,101.45729570190001,94.5352525006099,81.68698756542523,87.04526353703926
Floridablanca (San),9.420426382991058,10.336727819698952,5.954299003880802,6.850840084265333,4.987862867023576,11.042689739392522,12.846659065726719,11.155556263844842,8.861292292891028
Caloto (Cau),32.50623036081916,24.54848325442749,74.99062617172854,72.89354229482124,92.89055502106625,109.21366163621923,72.23298420724299,94.46561777256588,129.26577042399174
Miranda (Cau),22.940289703087107,6.481931615621455,19.357960961445396,25.510204081632654,53.57199130242965,71.69129106664172,98.93643334157804,113.48996994049445,124.76796202184961
Yarumal (Ant),64.32777475382255,54.06600968273082,48.746008920519635,139.61773626691058,37.99031247032007,89.03884905571958,83.06414397784957,70.44013724465451,55.93341686056918
Ciudad Bolívar (Ant),92.04924634679554,46.16094783812894,73.14725697786332,141.66475227812236,103.21100917431193,171.01812792155968,153.4373713558624,44.22495761774895,72.57684073012302
Chigorodó (Ant),27.847396268448897,52.81561885335471,67.80386838912283,73.20261437908496,49.41721764024266,55.15074537067986,44.426162073220894,43.75020254723402,44.672771945499214
Pradera (Vac),116.76042882921134,48.74843687077425,71.94092380609806,60.90517694003991,50.08556283651237,60.2096958372262,55.75747563191806,41.00881689563256,87.54249882937357
Buenos Aires (Cau),66.61781360335753,22.913256955810148,51.62622612287042,66.80239216185265,50.38735277445362,112.32799775344004,83.56287332487388,128.96094325718497,60.925457702500985
Urrao (Ant),74.47528774542992,43.872970875097025,43.637340136282766,63.066352441331695,59.047369111665134,100.4016064257028,60.59639610907352,109.92807563051605,111.33102424542305
Arauquita (Ara),48.83571222446669,21.699034392969512,16.862695501875976,64.20416925824121,41.19310202782407,23.127968830614314,57.32948820402349,78.94285223957439,40.74357015533486
Yopal (Cas) Cap.,13.975618897577771,16.174485371422172,12.781886241212455,7.124494606163875,14.400092160589828,20.82301562288956,15.05394329681358,12.187487881759209,13.219644391565867
